	B2
	2
0	0.1226
0	0.1052
5.65	0.106
11.31666667	0.1055
16.96666667	0.1053
22.63333333	0.1053
28.28333333	0.1053
33.95	0.1053
39.6	0.1063
45.25	0.1059
50.91666667	0.1062
56.56666667	0.1059
62.23333333	0.1061
67.88333333	0.1067
73.55	0.1071
79.2	0.1072
84.85	0.1079
90.51666667	0.1079
96.16666667	0.1087
101.8333333	0.1091
107.4833333	0.1096
113.15	0.1102
118.8	0.1107
124.4666667	0.1113
130.1166667	0.1115
135.7666667	0.1126
141.4333333	0.1132
147.0833333	0.1139
152.75	0.1141
158.4	0.1147
164.0666667	0.1158
169.7166667	0.1165
175.3666667	0.1169
181.0333333	0.1178
186.6833333	0.118
192.35	0.1193
198	0.1199
203.6666667	0.1211
209.3166667	0.1211
214.9666667	0.1225
220.6333333	0.1235
226.2833333	0.1248
231.95	0.1258
237.6	0.1273
243.2666667	0.1274
248.9166667	0.1288
254.5833333	0.1301
260.2333333	0.1309
265.8833333	0.1329
271.55	0.1344
277.2	0.1349
282.8666667	0.1361
288.5166667	0.1382
294.1833333	0.1381
299.8333333	0.1412
305.4833333	0.1428
311.15	0.1445
316.8	0.1448
322.4666667	0.1467
328.1166667	0.1489
333.7833333	0.1515
339.4333333	0.1525
345.0833333	0.1548
350.75	0.1574
356.4	0.1583
362.0666667	0.1589
367.7166667	0.1638
373.3833333	0.1655
379.0333333	0.1688
384.7	0.1707
390.35	0.1727
396	0.1757
401.6666667	0.1807
407.3166667	0.1799
412.9833333	0.187
418.6333333	0.1907
424.3	0.1929
429.95	0.199
435.6	0.1967
441.2666667	0.2026
446.9166667	0.2062
452.5833333	0.2102
458.2333333	0.2179
463.9	0.2201
469.55	0.2257
475.2	0.2303
480.8666667	0.2349
486.5166667	0.2441
492.1833333	0.2526
497.8333333	0.2539
503.5	0.2577
509.15	0.2667
514.8	0.2686
520.4666667	0.2738
526.1166667	0.2827
531.7833333	0.2873
537.4333333	0.2991
543.1	0.3057
548.75	0.3025
554.4	0.3284
560.0666667	0.3279
565.7166667	0.3278
571.3833333	0.3461
577.0333333	0.3502
582.7	0.3602
588.35	0.3699
594.0166667	0.381
599.6666667	0.3849
605.3166667	0.3976
610.9833333	0.4055
616.6333333	0.4196
622.3	0.4284
627.95	0.4329
633.6166667	0.4475
639.2666667	0.4627
644.9166667	0.4733
650.5833333	0.4801
656.2333333	0.4803
661.9	0.4999
667.55	0.5108
673.2166667	0.5193
678.8833333	0.534
684.5333333	0.5486
690.2	0.5539
695.85	0.572
701.5	0.5757
707.1666667	0.5958
712.8166667	0.5916
718.4833333	0.6117
724.1333333	0.6271
729.8	0.6312
735.45	0.6473
741.1	0.6592
746.7666667	0.6676
752.4166667	0.6752
758.0833333	0.6909
763.7333333	0.6946
769.4	0.7147
775.05	0.7222
780.7	0.7297
786.3666667	0.7408
792.0166667	0.7538
797.6833333	0.7593
803.3333333	0.7697
809	0.7768
814.65	0.7887
820.3166667	0.8029
825.9666667	0.8073
831.6166667	0.8179
837.2833333	0.8275
842.9333333	0.835
848.6	0.8439
854.25	0.8553
859.9166667	0.8643
865.5666667	0.8703
871.2166667	0.8808
876.8833333	0.8884
882.5333333	0.8971
888.2	0.9088
893.85	0.9204
899.5166667	0.9268
905.1666667	0.935
910.8166667	0.9428
916.4833333	0.9508
922.1333333	0.9591
927.8	0.9667
933.45	0.9733
939.1166667	0.9874
944.7666667	0.9906
950.4333333	1.0003
956.0833333	1.0065
961.7333333	1.0151
967.4	1.0196
973.05	1.0339
978.7166667	1.0385
984.3666667	1.0412
990.0333333	1.0525
995.6833333	1.0628
1001.333333	1.0683
1007	1.0758
1012.65	1.0836
1018.316667	1.0912
1023.966667	1.0998
1029.633333	1.1066
1035.283333	1.1124
1040.95	1.1172
1046.6	1.1283
1052.25	1.1303
1057.916667	1.1405
1063.566667	1.1437
1069.233333	1.1501
1074.883333	1.1568
1080.55	1.1593
1086.2	1.1637
1091.85	1.1707
1097.516667	1.1803
1103.166667	1.1809
1108.833333	1.1883
1114.483333	1.1904
1120.15	1.1973
1125.8	1.1939
1131.45	1.2027
1137.116667	1.2064
1142.766667	1.2119
1148.433333	1.2134
1154.083333	1.2161
1159.75	1.2198
1165.4	1.2231
1171.05	1.2241
1176.716667	1.226
1182.366667	1.2326
1188.033333	1.2323
1193.683333	1.2343
1199.35	1.2344
1205	1.2347
1210.65	1.2409
1216.316667	1.2383
1221.966667	1.2421
1227.633333	1.242
1233.283333	1.2432
1238.95	1.2425
1244.6	1.2427
1250.266667	1.242
1255.916667	1.2437
1261.566667	1.2428
1267.233333	1.2438
1272.883333	1.2433
1278.55	1.2427
1284.2	1.2421
1289.866667	1.2411
1295.516667	1.2395
1301.166667	1.2413
1306.833333	1.2391
1312.483333	1.2398
1318.15	1.242
1323.8	1.2376
1329.466667	1.2402
1335.116667	1.2384
1340.766667	1.2403
1346.433333	1.2368
1352.1	1.2353
1357.75	1.2334
1363.416667	1.2322
1369.066667	1.2336
1374.733333	1.234
1380.383333	1.2306
1386.05	1.2306
1391.7	1.2306
1397.35	1.2282
1403.016667	1.2277
1408.666667	1.2292
1414.333333	1.2261
1419.983333	1.2273
1425.65	1.2265
1431.3	1.2269
1436.966667	1.2255
1442.616667	1.2232
1448.266667	1.2238
1453.933333	1.2234
1459.583333	1.224
1465.25	1.2229
1470.9	1.2227
1476.566667	1.2253
1482.216667	1.2223
1487.866667	1.2253
1493.533333	1.2215
1499.183333	1.2222
1504.85	1.2253
1510.5	1.2206
1516.166667	1.2203
1521.816667	1.2211
1527.466667	1.2195
1533.133333	1.2199
1538.783333	1.2245
1544.45	1.2216
1550.1	1.2204
1555.766667	1.2245
1561.416667	1.2217
1567.083333	1.2222
1572.733333	1.222
1578.383333	1.2233
1584.05	1.2233
1589.7	1.2243
1595.366667	1.2224
1601.016667	1.2196
1606.683333	1.2218
1612.333333	1.2225
1617.983333	1.2211
1623.65	1.2235
1629.3	1.2243
1634.966667	1.2231
1640.616667	1.2221
1646.283333	1.2251
1651.933333	1.2235
1657.583333	1.2233
1663.25	1.2239
1668.9	1.2245
1674.566667	1.2247
1680.216667	1.2242
1685.883333	1.224
1691.533333	1.2274
1697.183333	1.2239
1702.85	1.2219
1708.5	1.2253
1714.166667	1.2225
1719.816667	1.2248
1725.483333	1.2247
1731.133333	1.2252
1736.783333	1.2273
1742.45	1.2256
1748.1	1.226
1753.766667	1.2263
1759.416667	1.2276
1765.083333	1.2274
1770.733333	1.2275
1776.383333	1.2264
1782.05	1.2287
1787.7	1.2268
1793.366667	1.2272
1799.016667	1.2264
1804.683333	1.2257
1810.333333	1.2276
1816	1.2285
1821.65	1.228
1827.3	1.2252
1832.966667	1.2287
1838.616667	1.2273
1844.283333	1.2266
1849.933333	1.2284
1855.6	1.2284
1861.25	1.2273
1866.9	1.2302
1872.566667	1.229
1878.216667	1.2295
1883.883333	1.2305
1889.533333	1.2306
1895.2	1.2295
1900.85	1.2308
1906.5	1.23
1912.166667	1.2289
1917.816667	1.2319
1923.483333	1.2319
1929.133333	1.2319
1934.8	1.2343
1940.45	1.2322
1946.116667	1.2318
1951.766667	1.2336
1957.416667	1.2334
1963.083333	1.2339
1968.733333	1.2329
1974.4	1.2337
1980.05	1.2363
1985.716667	1.2365
1991.366667	1.2377
1997.016667	1.2318
2002.683333	1.2372
2008.333333	1.2371
2014	1.2358
2019.65	1.2371
2025.316667	1.2359
2030.983333	1.2351
2036.633333	1.2372
2042.3	1.2384
2047.95	1.2376
2053.616667	1.2377
2059.266667	1.2377
2064.916667	1.2382
2070.583333	1.2382
2076.233333	1.2368
2081.9	1.2375
2087.55	1.2393
2093.216667	1.2376
2098.866667	1.2389
2104.516667	1.2395
2110.183333	1.2392
2115.833333	1.2401
2121.5	1.2403
2127.15	1.2393
2132.816667	1.2397
2138.466667	1.2411
2144.116667	1.2418
2149.783333	1.2398
2155.433333	1.2417
2161.1	1.2451
2166.75	1.2414
2172.416667	1.2436
2178.066667	1.2434
2183.733333	1.2442
2189.383333	1.2419
2195.033333	1.2439
2200.7	1.244
2206.35	1.2456
2212.016667	1.2436
2217.666667	1.2455
2223.333333	1.2452
2228.983333	1.2453
2234.633333	1.2453
2240.3	1.2449
2245.95	1.2469
2251.616667	1.2459
2257.266667	1.2471
2262.933333	1.2492
2268.583333	1.2473
2274.233333	1.2483
2279.9	1.2501
2285.55	1.2503
2291.216667	1.2491
2296.866667	1.2509
2302.533333	1.2498
2308.183333	1.2513
2313.833333	1.2515
2319.5	1.2494
