	aip1	cap2	crn1	gmf1	srv2	twf1	
WT	4 ~ 1.07293423272	3 ~ 0.441218983377	3 ~ 0.45205974464	4 ~ 0.815225246928	1 ~ 0.420296008735	4 ~ 0.976391231029	
aip1		1 ~ 0.226583130534	4 ~ 0.810889699691	4 ~ 0.735952848723	ND	4 ~ 0.866180185237	
cap2	1 ~ 0.3199298143		4 ~ 0.884520884521	4 ~ 1.14714714715	ND	1 ~ 0.470609738266	
crn1	4 ~ 1.92459365841	4 ~ 0.863309352518		4 ~ 0.676658673062	1 ~ 0.365293648685	4 ~ 2.03863575806	
gmf1	4 ~ 0.968602245863	4 ~ 0.620862884161	2 ~ 0.381644656531		1 ~ 0.464756813295	4 ~ 0.640514184397	
srv2	ND	ND	3 ~ 0.105306122449	4 ~ 0.520816326531		3 ~ 0.179591836735	
twf1	4 ~ 0.951825808043	1 ~ 0.386769212281	4 ~ 0.943868739206	4 ~ 0.534789045152	0 ~ 0.477168285731		
aip1 cap2			ND	ND	ND	4 ~ 2.2987012987	
aip1 crn1		ND		4 ~ 0.803959573584	ND	3 ~ 0.366606673128	
aip1 gmf1		ND	4 ~ 0.88582106628		ND	2 ~ 0.40414421421	
aip1 twf1		1 ~ 0.226456484032	2 ~ 0.497114508454	2 ~ 0.368279842057	ND		
cap2 crn1	ND			4 ~ 0.529783950617	ND	4 ~ 1.47237654321	
cap2 gmf1	ND		3 ~ 0.408495954307		ND	4 ~ 0.86780104712	
cap2 twf1	3 ~ 0.025730484082		4 ~ 1.386974851	4 ~ 1.06018316616	ND		
crn1 gmf1	4 ~ 2.28667060445	1 ~ 0.448477688879			0 ~ 0.494687438889	4 ~ 2.81964953731	
crn1 srv2	ND	ND		4 ~ 10.1162790698		ND	
crn1 twf1	3 ~ 0.346098549209	4 ~ 0.62351326624		4 ~ 0.935890733237	ND		
gmf1 srv2	ND	ND	4 ~ 2.04545454545			3 ~ 0.344827586207	
gmf1 twf1	2 ~ 0.473078423722	4 ~ 0.841176470588	4 ~ 1.65178777393		1 ~ 0.404100732714		
srv2 twf1	ND	ND	ND	4 ~ 1.0			
aip1 cap2 twf1			ND	ND	ND		
aip1 crn1 gmf1		ND			ND	1 ~ 0.35064737243	
aip1 crn1 twf1		ND		1 ~ 0.453417372464	ND		
aip1 gmf1 twf1		ND	1 ~ 0.404925241865		ND		
cap2 crn1 gmf1	ND				ND	4 ~ 2.25080104865	
cap2 crn1 twf1	ND			4 ~ 0.809873178912	ND		
cap2 gmf1 twf1	ND		4 ~ 1.05950911833		ND		
crn1 gmf1 srv2	ND	ND				ND	
crn1 gmf1 twf1	1 ~ 0.265283779891	1 ~ 0.38571016998			ND		
gmf1 srv2 twf1	ND	ND	ND				
